================================================================================
 MOTION PREDICTION V8 ??TEMPORAL GRU + TRAJ REFINER + LATE-HORIZON LOSS
 Data Root:       E:\motion_planning\data\processed\prediction_pt_85k
 Output Dir:      .\checkpoints\v8_hardcls
 Resume Checkpoint: .\checkpoints\v6_temporal\best_error_score.pth
 Epochs:          20 (Batch: 32, LR: 0.0001)
 Neighbors/Map:   16 hist / 64 map pts
 Loss extras:     time_weight_end=2.5, weight_fde=0.75, cls=0.8, hard_cls=0.5
 aWTA:            tau 0.5->0.25, Top-2->1
 Workers/Prefetch: 8/4
 AMP:             bf16 (torch.bfloat16)
 Compute Device:  cuda (NVIDIA GeForce RTX 5080)
================================================================================
-> Detected 1 window(s) per pack
-> Train Scenes: 229653 | Val Scenes: 25725 | Train windows: 229653 | Val windows: 25725
-> Model params: 1.514M
-> Loading compatible weights from: .\checkpoints\v6_temporal\best_error_score.pth
-> Loaded 50/50 tensors (new layers stay random/zero)
-> Optimizer: AdamW fused=True
 [Epoch 03/20] Step [04400/7177] | Loss: 21.7060 | minADE6: 0.843m | minADE1: 1.509m | 9.2 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [04600/7177] | Loss: 18.9051 | minADE6: 0.818m | minADE1: 1.485m | 8.6 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [04800/7177] | Loss: 20.2607 | minADE6: 0.826m | minADE1: 1.488m | 8.4 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [05000/7177] | Loss: 20.5832 | minADE6: 0.830m | minADE1: 1.494m | 8.4 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [05200/7177] | Loss: 20.7152 | minADE6: 0.825m | minADE1: 1.490m | 8.6 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [05400/7177] | Loss: 20.7184 | minADE6: 0.805m | minADE1: 1.472m | 8.6 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [05600/7177] | Loss: 22.0534 | minADE6: 0.821m | minADE1: 1.462m | 9.2 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [05800/7177] | Loss: 19.3901 | minADE6: 0.830m | minADE1: 1.491m | 9.1 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [06000/7177] | Loss: 21.2656 | minADE6: 0.839m | minADE1: 1.494m | 9.1 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [06200/7177] | Loss: 20.7567 | minADE6: 0.841m | minADE1: 1.489m | 9.3 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [06400/7177] | Loss: 20.3573 | minADE6: 0.840m | minADE1: 1.502m | 9.6 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [06600/7177] | Loss: 20.9167 | minADE6: 0.856m | minADE1: 1.551m | 9.7 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [06800/7177] | Loss: 21.1556 | minADE6: 0.845m | minADE1: 1.516m | 9.6 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [07000/7177] | Loss: 20.2302 | minADE6: 0.827m | minADE1: 1.485m | 9.7 steps/s | GPU -1% 100MB -1W | tau: 0.46, Top-2
Epoch 03/20 (786.2s, 7177 steps) | Train Loss: 20.5786, minADE6: 0.826m, minADE1: 1.486m | Val Loss: 21.4205, val_minADE6: 0.9195m, val_minADE1: 1.6816m, val_minFDE6: 13.4947m, Error Score: 1.3005
 [Epoch 04/20] Step [00050/7177] | Loss: 20.4931 | minADE6: 0.847m | minADE1: 1.538m | 7.9 steps/s | GPU -1% 101MB -1W | tau: 0.45, Top-2
 [Epoch 04/20] Step [00100/7177] | Loss: 20.5071 | minADE6: 0.842m | minADE1: 1.507m | 9.7 steps/s | GPU -1% 100MB -1W | tau: 0.45, Top-2
